variable,type,n_unique,exemple
hh1,numeric,0,"NA, NA, NA"
hh2,numeric,0,"NA, NA, NA"
ln,numeric,0,"NA, NA, NA"
bhln,numeric,0,"NA, NA, NA"
psu,numeric,0,"NA, NA, NA"
stratum,numeric,0,"NA, NA, NA"
brthord,numeric,0,"NA, NA, NA"
magebrt,numeric,0,"NA, NA, NA"
birthint,numeric,0,"NA, NA, NA"
bh4d,numeric,0,"NA, NA, NA"
bh4m,numeric,0,"NA, NA, NA"
bh4y,numeric,0,"NA, NA, NA"
bh5,numeric,0,"NA, NA, NA"
bh9c,numeric,0,"NA, NA, NA"
welevel,numeric,0,"NA, NA, NA"
windex5,numeric,0,"NA, NA, NA"
windex10,numeric,0,"NA, NA, NA"
wscore,numeric,0,"NA, NA, NA"
insurance,numeric,0,"NA, NA, NA"
disability,numeric,0,"NA, NA, NA"
wmweight,numeric,0,"NA, NA, NA"
child_id,character,0,"NA, NA, NA"
age_mere_cat,factor,0,"NA, NA, NA"
age_mere_risque,numeric,0,"NA, NA, NA"
ordre_cat,factor,0,"NA, NA, NA"
ordre_risque,numeric,0,"NA, NA, NA"
intervalle_cat,factor,0,"NA, NA, NA"
intervalle_risque,numeric,0,"NA, NA, NA"
educ_mere_cat,factor,0,"NA, NA, NA"
educ_mere_risque,numeric,0,"NA, NA, NA"
richesse_cat,factor,0,"NA, NA, NA"
richesse_risque,numeric,0,"NA, NA, NA"
enfant_vivant,numeric,0,"NA, NA, NA"
age_annees,numeric,0,"NA, NA, NA"
milieu,character,0,"NA, NA, NA"
region,character,0,"NA, NA, NA"
taille_menage,integer,0,"NA, NA, NA"
nb_enfants,integer,0,"NA, NA, NA"
nb_adultes,integer,0,"NA, NA, NA"
taille_menage_cat,character,0,"NA, NA, NA"
taille_menage_risque,numeric,0,"NA, NA, NA"
sexe,character,0,"NA, NA, NA"
age,numeric,0,"NA, NA, NA"
groupe_age,character,0,"NA, NA, NA"
